#TimeHarp 260  Histogram Data			26-Apr-21 05:05:56 PM
#channels per curve
32768
#display curve no.
0	1	2	3	4	5	6	
#memory block no.
0	1	2	3	4	5	6	
#ns/bin
0.1000	0.1000	0.1000	0.1000	0.1000	0.1000	0.1000	
#counts
0	77	112	105	151	23	2	
0	79	116	119	162	14	1	
0	66	120	145	162	30	0	
0	82	118	144	182	28	3	
0	72	111	133	149	26	0	
0	64	96	160	166	26	4	
0	80	113	128	169	21	1	
0	72	113	140	162	30	1	
0	92	133	140	164	22	1	
0	71	120	124	157	20	0	
0	69	128	133	151	23	1	
0	73	128	151	173	19	1	
0	72	115	133	156	15	2	
0	81	116	130	145	21	0	
0	74	130	132	164	25	0	
0	67	119	156	165	20	1	
0	81	135	148	175	22	3	
0	76	100	128	160	24	2	
1	74	120	141	156	20	1	
0	76	116	152	188	22	0	
0	63	129	134	164	28	1	
0	72	97	131	166	21	1	
0	71	101	141	173	24	1	
0	66	102	122	169	18	2	
0	65	115	140	175	21	1	
0	77	121	155	148	22	3	
0	71	122	136	172	21	5	
0	68	113	143	166	13	1	
0	87	96	133	154	25	3	
0	53	108	138	152	21	1	
0	71	121	152	179	13	2	
0	73	90	146	166	20	3	
0	66	125	121	167	14	0	
0	75	100	145	151	28	2	
0	74	95	118	156	13	1	
0	60	93	118	149	21	1	
0	66	101	119	160	19	3	
0	72	96	134	162	16	2	
0	79	93	130	170	26	1	
0	57	101	141	147	20	0	
0	76	99	137	145	20	1	
0	68	106	128	161	22	3	
0	73	109	164	152	16	1	
0	60	103	114	160	17	3	
0	69	89	137	157	19	3	
0	76	112	138	154	21	3	
0	70	104	132	149	19	1	
0	86	99	127	154	19	1	
0	69	117	139	148	20	3	
0	62	94	149	189	20	2	
0	64	115	126	172	18	3	
0	94	84	131	153	22	0	
0	83	114	136	142	17	0	
0	48	101	132	141	28	1	
0	61	92	136	149	28	0	
0	58	93	152	190	22	1	
0	78	107	146	153	20	1	
0	77	87	129	143	12	1	
0	77	90	140	154	21	0	
0	71	114	134	157	16	0	
0	64	100	121	170	18	2	
0	54	120	132	153	14	0	
0	64	118	111	166	14	1	
0	56	99	127	160	21	3	
0	74	115	121	148	12	2	
0	76	109	126	157	19	2	
0	77	114	125	158	16	1	
0	68	92	128	153	14	1	
0	76	79	125	126	18	4	
0	47	86	110	149	9	0	
0	78	96	115	168	12	2	
